0;1;2;3;4;5;6;7
"id";"nom";"code";"type";"niveauGravite";"geometry";"date_today";"date_today"
"123";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.913531,43.260277],[1.913531,43.260277]]]}";"21/05/2024";"21/05/2024"
"126";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.756727,42.930902],[2.756727,42.930902]]]}";"21/05/2024";"21/05/2024"
"129";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.50188,43.088829],[2.50188,43.088829]]]}";"21/05/2024";"21/05/2024"
"130";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.52289,43.200904],[2.52289,43.200904]]]}";"21/05/2024";"21/05/2024"
"131";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.103111,43.186222],[2.103111,43.186222]]]}";"21/05/2024";"21/05/2024"
"134";"Secteur Orbiel et affluents rive gauche de l?Aude sur ce secteur";"76_11_0009";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.464275,43.298447],[2.464275,43.298447]]]}";"21/05/2024";"21/05/2024"
"137";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.299612,42.939253],[2.299612,42.939253]]]}";"21/05/2024";"21/05/2024"
"138";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.128032,43.271505],[2.128032,43.271505]]]}";"21/05/2024";"21/05/2024"
"140";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.837704,43.051226],[2.837704,43.051226]]]}";"21/05/2024";"21/05/2024"
"143";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.698235,43.240333],[2.698235,43.240333]]]}";"21/05/2024";"21/05/2024"
"144";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[3.129602,43.207758],[3.129602,43.207758]]]}";"21/05/2024";"21/05/2024"
"148";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.81014,42.898545],[2.81014,42.898545]]]}";"21/05/2024";"21/05/2024"
"149";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.240021,43.208054],[2.240021,43.208054]]]}";"21/05/2024";"21/05/2024"
"152";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.677709,43.217103],[2.677709,43.217103]]]}";"21/05/2024";"21/05/2024"
"153";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.724786,43.164074],[2.724786,43.164074]]]}";"21/05/2024";"21/05/2024"
"156";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.832677,43.066458],[2.832677,43.066458]]]}";"21/05/2024";"21/05/2024"
"158";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.445852,43.140803],[2.445852,43.140803]]]}";"21/05/2024";"21/05/2024"
"159";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.001957,43.283738],[2.001957,43.283738]]]}";"21/05/2024";"21/05/2024"
"160";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.463595,42.97896],[2.463595,42.97896]]]}";"21/05/2024";"21/05/2024"
"163";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.998511,42.735944],[1.998511,42.735944]]]}";"21/05/2024";"21/05/2024"
"164";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.412205,43.219022],[2.412205,43.219022]]]}";"21/05/2024";"21/05/2024"
"165";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.151149,43.053682],[2.151149,43.053682]]]}";"21/05/2024";"21/05/2024"
"167";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.582715,42.911123],[2.582715,42.911123]]]}";"21/05/2024";"21/05/2024"
"169";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.666303,42.982599],[2.666303,42.982599]]]}";"21/05/2024";"21/05/2024"
"170";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.947682,43.372635],[1.947682,43.372635]]]}";"21/05/2024";"21/05/2024"
"172";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.855661,43.221789],[2.855661,43.221789]]]}";"21/05/2024";"21/05/2024"
"175";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.452079,43.020422],[2.452079,43.020422]]]}";"21/05/2024";"21/05/2024"
"176";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.916168,43.347507],[1.916168,43.347507]]]}";"21/05/2024";"21/05/2024"
"180";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.302044,43.132972],[2.302044,43.132972]]]}";"21/05/2024";"21/05/2024"
"181";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.665128,42.83664],[2.665128,42.83664]]]}";"21/05/2024";"21/05/2024"
"184";"Secteur Argent-Double et affluents rive gauche de l?Aude sur ce secteur";"76_11_0006";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.567406,43.229417],[2.567406,43.229417]]]}";"21/05/2024";"21/05/2024"
"187";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.495074,43.159542],[2.495074,43.159542]]]}";"21/05/2024";"21/05/2024"
"188";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.581802,42.945507],[2.581802,42.945507]]]}";"21/05/2024";"21/05/2024"
"191";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.178707,43.035374],[2.178707,43.035374]]]}";"21/05/2024";"21/05/2024"
"194";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.55862,42.845687],[2.55862,42.845687]]]}";"21/05/2024";"21/05/2024"
"195";"Secteur Orbiel et affluents rive gauche de l?Aude sur ce secteur";"76_11_0009";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.351434,43.305058],[2.351434,43.305058]]]}";"21/05/2024";"21/05/2024"
"197";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.515798,42.845348],[2.515798,42.845348]]]}";"21/05/2024";"21/05/2024"
"199";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.778093,43.004449],[2.778093,43.004449]]]}";"21/05/2024";"21/05/2024"
"200";"Secteur Aude aval, Berre et Rieu";"76_11_0005";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.666303,42.982599],[2.666303,42.982599]]]}";"21/05/2024";"21/05/2024"
"203";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.213686,43.128279],[2.213686,43.128279]]]}";"21/05/2024";"21/05/2024"
"206";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.623906,43.026729],[2.623906,43.026729]]]}";"21/05/2024";"21/05/2024"
"207";"Secteur Orbiel et affluents rive gauche de l?Aude sur ce secteur";"76_11_0009";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.385541,43.333372],[2.385541,43.333372]]]}";"21/05/2024";"21/05/2024"
